k_ins,k_del,k_sub,nw_coeff,scrambled_correlation,fail_correlation,core_value_min,core_value_max,core_value_mean,core_value_std,fail_core_min,fail_core_max,fail_core_mean,fail_core_std
0.5,1.5,1.0,0.5,0.7807155558796337,0.09995491987527999,0.0,0.85,0.47290673126603316,0.14499010235664583,0.0,0.8888888888888888,0.5017753939271723,0.19364620949515626
0.5,1.5,1.0,0.8,0.06450681178320673,0.8902630187022719,0.0,0.8857142857142858,0.43388112908524257,0.14526633858343055,0.0,0.8222222222222222,0.4981170989892259,0.20420173947750783
0.5,1.5,1.5,0.2,0.9819495414530623,-0.34899058830447166,0.0,0.9666666666666668,0.5200164043874442,0.21916491226738857,0.0,1.0333333333333334,0.5550015124348447,0.3268655222067635
0.5,1.5,1.5,0.5,0.7236603377388324,0.4251462306060833,0.0,0.9166666666666667,0.4931169086175838,0.15015990867812487,0.0,1.0833333333333335,0.6256949528514877,0.2161070551004216
0.5,1.5,1.5,0.8,0.012788309675583231,0.9356799916142512,0.0,1.0571428571428572,0.4662174128477234,0.16582765102837768,0.0,1.2000000000000002,0.6963883932681306,0.3183002664663385
0.5,1.5,2.0,0.2,0.9844015632019297,-0.4189349764570936,0.0,0.942857142857143,0.5180394474047741,0.21957063799240073,0.0,0.9750000000000001,0.5272211847846755,0.34178459626499436
0.5,1.5,2.0,0.5,0.7544423833366519,0.09415960125827795,0.0,0.8571428571428572,0.4881745161609086,0.14713748604817473,0.0,0.9375,0.5562441337260644,0.20280218249046564
0.5,1.5,2.0,0.8,0.037946802833283645,0.8688659401690337,0.0,0.779047619047619,0.45830958491704304,0.1546331072346773,0.0,0.9,0.5852670826674535,0.20875149856790112
0.5,2.0,0.5,0.2,0.9929361214512689,-0.48926549921453055,0.0,0.9,0.48889476549365407,0.22255027217872905,0.0,0.8777777777777778,0.45586586529539247,0.3517312338411948
0.5,2.0,0.5,0.5,0.8812592698413776,-0.26754276952795236,0.0,0.75,0.4153128113831085,0.13967293382885038,0.0,0.6944444444444444,0.37785583500285685,0.19871707715610953
0.5,2.0,0.5,0.8,0.2320538072987213,0.6346588201408585,0.0,0.6,0.3417308572725629,0.10858658848774234,0.0,0.5111111111111111,0.29984580471032124,0.10361366025035221
0.5,2.0,1.0,0.2,0.9792854692761896,-0.42306156383880705,0.0,0.9777777777777779,0.5278558015817807,0.21928928856899002,0.0,0.9555555555555556,0.5054336888651186,0.3382048536972199
0.5,2.0,1.0,0.5,0.695701241676871,0.09995491987527999,0.0,0.9444444444444444,0.512715401603425,0.15453413863344023,0.0,0.8888888888888888,0.5017753939271723,0.19364620949515626
0.5,2.0,1.0,0.8,0.0015335227060421332,0.8902630187022719,0.0,0.9333333333333333,0.49757500162506924,0.1776109299862023,0.0,0.8222222222222222,0.4981170989892259,0.20420173947750783
0.5,2.0,1.5,0.2,0.9752892669176081,-0.34899058830447166,0.0,1.0,0.5368275753529467,0.21830242571024053,0.0,1.0333333333333334,0.5550015124348447,0.3268655222067635
